assignment_id,worker_id,task_id,supervisor_id,skill,priority,status
A190,W1906,T677,S134,DevOps,Low,Pending
A191,W1475,T30,S149,DevOps,Low,In Progress
A192,W1873,T301,S186,DevOps,Medium,In Progress
A193,W1053,T287,S147,UI/UX,Medium,On Hold
A194,W1209,T335,S104,Project Management,High,On Hold
A195,W1486,T219,S169,Project Management,High,Pending
A196,W1365,T309,S148,Cybersecurity,Medium,Completed
A197,W1742,T469,S111,DevOps,Low,Pending
A198,W1879,T90,S137,Project Management,Low,Pending
A199,W1364,T649,S105,Project Management,Medium,Completed
A200,W1633,T146,S156,UI/UX,Medium,Pending
A201,W1074,T120,S168,UI/UX,Critical,In Progress
A202,W1169,T455,S183,Project Management,High,Completed
A203,W1134,T810,S142,C++,High,Completed
A204,W1464,T439,S154,Python,Medium,In Progress
A205,W1680,T811,S113,Java,High,In Progress
A206,W1635,T704,S152,Data Analysis,High,On Hold
A207,W1022,T273,S197,Cybersecurity,Low,Pending
A208,W1524,T791,S116,Project Management,Medium,On Hold
A209,W1678,T274,S139,Java,Low,On Hold
A210,W1688,T405,S160,Python,Low,In Progress
A211,W1068,T442,S114,Python,Critical,On Hold
A212,W1350,T454,S176,Java,Low,Completed
A213,W1836,T870,S123,Project Management,Low,Completed
A214,W1172,T942,S120,Project Management,Medium,Completed
A215,W1369,T715,S100,Project Management,Low,Completed
A216,W1913,T127,S165,UI/UX,Medium,In Progress
A217,W1640,T943,S166,Project Management,Critical,On Hold
A218,W1935,T291,S102,Data Analysis,Medium,Completed
A219,W1761,T908,S174,Python,Critical,On Hold
A220,W1793,T297,S163,Data Analysis,Low,In Progress
A221,W1892,T804,S100,C++,Critical,In Progress
A222,W1953,T682,S195,UI/UX,Critical,Completed
A223,W1557,T457,S183,UI/UX,Critical,On Hold
A224,W1157,T433,S156,Python,Medium,Completed
A225,W1356,T666,S102,Project Management,Low,In Progress
A226,W1960,T900,S100,UI/UX,Low,Pending
A227,W1445,T861,S187,Cybersecurity,Medium,In Progress
A228,W1377,T460,S102,Python,Critical,In Progress
A229,W1355,T124,S147,Java,Medium,In Progress
A230,W1528,T694,S103,DevOps,High,In Progress
A231,W1047,T667,S146,UI/UX,Critical,Pending
A232,W1550,T791,S175,C++,Medium,Pending
A233,W1620,T722,S118,C++,High,Completed
A234,W1508,T424,S156,Java,Critical,Completed
A235,W1175,T640,S176,Project Management,Medium,In Progress
A236,W1890,T844,S131,Data Analysis,High,On Hold
A237,W1378,T481,S191,DevOps,Medium,Completed
A238,W1284,T97,S174,Python,Low,Pending
A239,W1296,T478,S151,Java,High,Pending
A240,W1853,T709,S127,Python,High,In Progress
A241,W1414,T462,S178,Cybersecurity,Critical,On Hold
A242,W1656,T486,S147,Java,High,Pending
A243,W1159,T198,S167,UI/UX,High,In Progress
A244,W1284,T616,S182,Project Management,High,Completed
A245,W1519,T883,S174,Project Management,Critical,In Progress
A246,W1733,T519,S191,Java,Low,In Progress
A247,W1954,T995,S178,Python,Medium,On Hold
A248,W1924,T148,S113,Cybersecurity,Low,In Progress
A249,W1186,T188,S109,Java,Medium,Pending
A250,W1826,T992,S186,Python,Medium,In Progress
A251,W1907,T996,S128,C++,Medium,Pending
A252,W1918,T744,S138,Java,High,On Hold
A253,W1546,T917,S139,Java,Critical,Completed
A254,W1526,T656,S130,C++,Low,Pending
A255,W1783,T442,S151,Python,Medium,Pending
A256,W1030,T595,S184,Java,Critical,In Progress
A257,W1321,T323,S148,DevOps,Low,On Hold
A258,W1238,T189,S136,Java,Critical,On Hold
A259,W1314,T243,S153,Data Analysis,Low,On Hold
A260,W1759,T62,S181,DevOps,Critical,Completed
A261,W1984,T499,S197,DevOps,High,In Progress
A262,W1205,T298,S146,C++,Low,In Progress
A263,W1883,T61,S155,C++,Medium,In Progress
A264,W1732,T499,S150,Project Management,Critical,Pending
A265,W1627,T9,S174,Project Management,High,In Progress
A266,W1677,T387,S183,Cybersecurity,Medium,On Hold
A267,W1055,T910,S159,Cybersecurity,Low,On Hold
A268,W1861,T437,S170,C++,High,Pending
A269,W1144,T264,S132,Python,Medium,On Hold
A270,W1456,T786,S119,UI/UX,Medium,Pending
A271,W1977,T157,S185,C++,High,On Hold
A272,W1400,T542,S171,Data Analysis,Medium,Pending
A273,W1925,T90,S127,Java,Low,Completed
A274,W1883,T758,S140,C++,Medium,On Hold
A275,W1509,T696,S143,Data Analysis,Low,Completed
A276,W1097,T631,S131,DevOps,High,On Hold
A277,W1164,T363,S163,DevOps,Medium,In Progress
A278,W1435,T567,S128,Cybersecurity,High,In Progress
A279,W1142,T789,S103,Project Management,Critical,On Hold
A280,W1917,T738,S164,Project Management,Medium,Completed
A281,W1215,T389,S194,Java,Critical,Completed
A282,W1509,T438,S124,DevOps,Medium,Completed
A283,W1397,T663,S185,DevOps,High,Completed
A284,W1779,T907,S136,Data Analysis,Low,In Progress
A285,W1714,T779,S109,C++,Medium,Completed
A286,W1163,T72,S100,Java,High,Pending
A287,W1838,T883,S164,Project Management,Low,In Progress
A288,W1383,T666,S110,Java,Medium,Pending
A289,W1723,T958,S146,DevOps,High,Completed
A290,W1541,T939,S116,Project Management,High,In Progress
A291,W1426,T701,S160,UI/UX,Critical,On Hold
A292,W1712,T184,S141,C++,Medium,In Progress
A293,W1863,T286,S193,UI/UX,Medium,In Progress
A294,W1301,T359,S144,Data Analysis,High,Completed
A295,W1784,T109,S125,UI/UX,Critical,On Hold
A296,W1066,T545,S129,Java,Medium,Completed
A297,W1927,T428,S150,C++,Low,Completed
A298,W1311,T307,S196,Data Analysis,Medium,Pending
A299,W1125,T316,S105,C++,Critical,Pending
A300,W1339,T873,S117,C++,Critical,On Hold
A301,W1639,T495,S161,Cybersecurity,Critical,Pending
A302,W1900,T281,S110,C++,High,In Progress
A303,W1490,T793,S127,Python,Critical,On Hold
A304,W1512,T29,S168,Python,Medium,In Progress
A305,W1174,T833,S101,DevOps,Critical,Pending
A306,W1296,T187,S116,DevOps,Medium,Completed
A307,W1194,T992,S172,C++,Critical,Pending
A308,W1842,T550,S198,UI/UX,Low,Pending
A309,W1659,T381,S189,DevOps,Critical,In Progress
A310,W1204,T408,S194,Java,Low,In Progress
A311,W1033,T38,S115,DevOps,Critical,On Hold
A312,W1409,T567,S151,Data Analysis,High,In Progress
A313,W1242,T428,S116,Project Management,Low,Pending
A314,W1295,T28,S133,Project Management,Critical,Pending
A315,W1632,T598,S160,Python,Medium,Pending
A316,W1970,T696,S160,Project Management,Low,On Hold
A317,W1474,T385,S166,Cybersecurity,Low,Pending
A318,W1967,T961,S107,Project Management,Medium,Completed
A319,W1135,T551,S140,Data Analysis,Critical,In Progress
A320,W1269,T786,S179,C++,Critical,On Hold
A321,W1876,T984,S122,Cybersecurity,High,In Progress
A322,W1159,T371,S103,DevOps,Low,Completed
A323,W1455,T726,S196,C++,Low,Pending
A324,W1212,T961,S103,C++,High,Completed
A325,W1722,T114,S163,Project Management,Critical,In Progress
A326,W1321,T945,S190,Python,Low,On Hold
A327,W1112,T483,S114,Project Management,High,Completed
A328,W1164,T298,S163,C++,Critical,Completed
A329,W1176,T542,S169,UI/UX,Medium,Completed
A330,W1872,T401,S102,Java,Low,Pending
A331,W1872,T937,S131,Cybersecurity,High,On Hold
A332,W1430,T408,S101,Python,High,On Hold
A333,W1114,T994,S178,C++,Critical,On Hold
A334,W1043,T923,S146,Cybersecurity,Critical,In Progress
A335,W1432,T263,S196,Python,Critical,On Hold
A336,W1383,T175,S176,C++,Medium,On Hold
A337,W1852,T32,S170,Cybersecurity,Medium,In Progress
A338,W1951,T632,S126,Data Analysis,Low,Pending
A339,W1140,T19,S139,Project Management,Critical,Pending
A340,W1074,T433,S189,Python,Critical,On Hold
A341,W1361,T369,S112,Java,Low,Pending
A342,W1993,T727,S142,Data Analysis,Low,In Progress
A343,W1086,T905,S138,Java,Medium,Completed
A344,W1245,T656,S155,Java,High,In Progress
A345,W1934,T447,S106,Data Analysis,Medium,In Progress
A346,W1984,T873,S135,C++,Critical,Pending
A347,W1570,T137,S101,Data Analysis,High,Pending
A348,W1034,T579,S191,Data Analysis,High,Pending
A349,W1445,T203,S101,C++,High,Pending
A350,W1696,T539,S128,UI/UX,Low,On Hold
A351,W1618,T692,S146,Cybersecurity,High,In Progress
A352,W1781,T361,S108,Cybersecurity,Low,In Progress
A353,W1409,T670,S151,Java,Critical,Completed
A354,W1711,T548,S143,UI/UX,Critical,Completed
A355,W1570,T919,S114,Python,Medium,Completed
A356,W1359,T995,S188,Cybersecurity,Medium,In Progress
A357,W1113,T529,S160,Project Management,Low,On Hold
A358,W1530,T300,S156,Java,Low,On Hold
A359,W1688,T325,S178,Python,Low,Completed
A360,W1632,T906,S117,Python,Critical,On Hold
A361,W1131,T235,S100,Project Management,High,Pending
A362,W1100,T305,S187,DevOps,Low,On Hold
A363,W1222,T819,S149,Project Management,Critical,In Progress
A364,W1695,T734,S194,Cybersecurity,Medium,Pending
A365,W1558,T571,S186,Cybersecurity,High,On Hold
A366,W1626,T350,S117,Java,Critical,On Hold
A367,W1540,T686,S129,Python,Low,Completed
A368,W1739,T959,S101,Cybersecurity,High,On Hold
A369,W1720,T259,S111,Project Management,Low,On Hold
A370,W1858,T787,S156,C++,Low,Pending
A371,W1950,T902,S125,Data Analysis,Critical,On Hold
A372,W1081,T481,S136,Project Management,Low,On Hold
A373,W1715,T276,S141,C++,Critical,On Hold
A374,W1456,T259,S164,Data Analysis,Critical,Pending
A375,W1283,T368,S181,DevOps,Critical,In Progress
A376,W1400,T40,S164,UI/UX,High,In Progress
A377,W1809,T187,S122,Project Management,Medium,On Hold
A378,W1026,T619,S123,Data Analysis,Critical,On Hold
A379,W1445,T147,S103,Python,High,In Progress
A380,W1553,T764,S109,Cybersecurity,Critical,In Progress
A381,W1761,T480,S103,Project Management,Medium,In Progress
A382,W1548,T617,S108,Project Management,Medium,In Progress
A383,W1568,T909,S106,DevOps,Medium,Pending
A384,W1764,T576,S106,Cybersecurity,Medium,On Hold
A385,W1652,T160,S115,Java,Critical,On Hold
A386,W1802,T252,S199,Project Management,High,Pending
A387,W1912,T220,S168,Java,Medium,On Hold
A388,W1798,T473,S138,Project Management,Low,Completed
A389,W1598,T576,S176,Project Management,Critical,Pending
A390,W1554,T765,S130,Cybersecurity,Medium,Pending
A391,W1362,T505,S175,DevOps,High,Pending
A392,W1587,T53,S133,Java,Medium,Completed
A393,W1874,T309,S190,UI/UX,Medium,On Hold
A394,W1297,T338,S119,DevOps,High,Completed
A395,W1344,T670,S118,DevOps,Medium,In Progress
A396,W1367,T522,S136,DevOps,Low,In Progress
A397,W1556,T508,S134,UI/UX,Low,Pending
A398,W1705,T827,S119,DevOps,High,On Hold
A399,W1054,T152,S123,Python,Medium,Completed
A400,W1461,T638,S142,Python,Critical,Pending
A401,W1706,T323,S186,C++,Critical,In Progress
A402,W1501,T34,S118,DevOps,Critical,On Hold
A403,W1546,T540,S124,Data Analysis,Medium,Pending
A404,W1765,T626,S141,Java,Critical,Completed
A405,W1319,T786,S144,Java,Medium,Pending
A406,W1980,T346,S174,Java,Medium,Pending
A407,W1508,T620,S166,Cybersecurity,Critical,In Progress
A408,W1727,T247,S175,UI/UX,Medium,Completed
A409,W1370,T648,S179,Java,Medium,Completed
A410,W1156,T172,S183,DevOps,Critical,Pending
A411,W1803,T129,S144,Data Analysis,Medium,Completed
A412,W1173,T791,S132,DevOps,Low,Completed
A413,W1585,T59,S152,UI/UX,Critical,In Progress
A414,W1696,T753,S176,DevOps,Medium,On Hold
A415,W1248,T337,S157,C++,Medium,Completed
A416,W1154,T115,S117,Java,High,On Hold
A417,W1536,T663,S110,C++,High,In Progress
A418,W1387,T963,S121,Data Analysis,High,In Progress
A419,W1551,T488,S119,Java,Critical,In Progress
A420,W1577,T67,S150,Project Management,Medium,On Hold
A421,W1713,T159,S129,UI/UX,High,On Hold
A422,W1803,T548,S114,Cybersecurity,Critical,In Progress
A423,W1368,T90,S139,Python,High,On Hold
A424,W1523,T370,S158,Data Analysis,Low,Pending
A425,W1633,T923,S119,Project Management,High,Pending
A426,W1269,T520,S129,Project Management,High,Completed
A427,W1488,T662,S151,C++,Medium,Pending
A428,W1778,T68,S197,DevOps,Critical,Completed
A429,W1399,T77,S184,Java,Medium,Completed
A430,W1878,T627,S143,Data Analysis,High,Completed
A431,W1918,T80,S165,DevOps,Medium,On Hold
A432,W1941,T169,S123,C++,Medium,On Hold
A433,W1332,T663,S108,Project Management,High,In Progress
A434,W1958,T961,S151,Cybersecurity,Critical,In Progress
A435,W1573,T695,S143,DevOps,Medium,In Progress
A436,W1858,T19,S101,DevOps,Critical,Pending
A437,W1683,T631,S176,Cybersecurity,Medium,Completed
A438,W1058,T383,S181,Project Management,Low,Pending
A439,W1808,T140,S113,Data Analysis,Low,Pending
A440,W1059,T308,S164,Java,High,Pending
A441,W1933,T563,S156,Cybersecurity,Medium,In Progress
A442,W1349,T908,S162,Data Analysis,Medium,Pending
A443,W1838,T727,S126,DevOps,Medium,Completed
A444,W1602,T603,S195,C++,Low,Pending
A445,W1968,T766,S190,Project Management,Critical,Pending
A446,W1378,T564,S121,UI/UX,Critical,In Progress
A447,W1624,T396,S174,C++,Low,Pending
A448,W1098,T231,S197,C++,High,In Progress
A449,W1665,T358,S165,C++,Low,Pending
A450,W1167,T769,S113,Project Management,Low,On Hold
A451,W1972,T246,S154,UI/UX,High,In Progress
A452,W1888,T126,S150,Python,High,On Hold
A453,W1764,T911,S116,Cybersecurity,High,In Progress
A454,W1270,T440,S108,Python,Critical,In Progress
A455,W1802,T751,S132,Cybersecurity,Low,On Hold
A456,W1223,T713,S184,DevOps,Critical,Completed
A457,W1934,T759,S140,Python,High,On Hold
A458,W1687,T956,S110,Data Analysis,Low,Completed
A459,W1160,T801,S183,Cybersecurity,High,Completed
A460,W1295,T467,S101,Java,High,Pending
A461,W1683,T451,S138,DevOps,Low,Pending
A462,W1533,T407,S126,Cybersecurity,Critical,Completed
A463,W1737,T687,S119,Java,Medium,Completed
A464,W1810,T10,S110,Project Management,Critical,On Hold
A465,W1776,T725,S113,Python,Low,In Progress
A466,W1528,T956,S178,C++,Low,Completed
A467,W1026,T864,S177,C++,Medium,On Hold
A468,W1752,T825,S181,UI/UX,High,Pending
A469,W1799,T711,S118,Java,Low,In Progress
A470,W1910,T858,S173,Cybersecurity,Medium,Pending
A471,W1918,T897,S104,Java,Critical,In Progress
A472,W1584,T472,S169,Project Management,Low,In Progress
A473,W1309,T712,S181,UI/UX,Critical,Completed
A474,W1095,T891,S151,C++,Low,On Hold
A475,W1199,T485,S145,UI/UX,Critical,Completed
A476,W1272,T876,S102,DevOps,Medium,Pending
A477,W1861,T767,S194,Java,Low,Pending
A478,W1090,T951,S157,Java,High,On Hold
A479,W1097,T908,S109,Project Management,High,Completed
A480,W1836,T479,S126,Data Analysis,Low,Pending
A481,W1852,T762,S191,Data Analysis,High,Pending
A482,W1441,T356,S117,Python,High,Completed
A483,W1529,T306,S130,Java,High,On Hold
A484,W1124,T905,S109,Python,Low,Pending
A485,W1204,T61,S149,Project Management,Critical,Completed
A486,W1962,T268,S179,Java,Medium,In Progress
A487,W1120,T433,S127,Project Management,Critical,In Progress
A488,W1907,T367,S130,Cybersecurity,Medium,In Progress
A489,W1666,T622,S160,Data Analysis,Medium,In Progress
A490,W1445,T83,S114,C++,Medium,In Progress
A491,W1443,T547,S109,Python,Low,In Progress
A492,W1455,T430,S155,Python,Low,Pending
A493,W1613,T323,S126,DevOps,Medium,Pending
A494,W1499,T219,S106,Project Management,Medium,Pending
A495,W1639,T426,S137,DevOps,Critical,In Progress
A496,W1784,T149,S180,Project Management,High,On Hold
A497,W1110,T526,S193,Data Analysis,Low,In Progress
A498,W1493,T159,S177,Cybersecurity,Critical,On Hold
A499,W1495,T743,S105,Java,Critical,In Progress
A500,W1361,T362,S171,UI/UX,Low,Completed
A501,W1823,T154,S113,Project Management,Low,In Progress
A502,W1989,T210,S178,Project Management,Medium,On Hold
A503,W1906,T888,S107,C++,Critical,On Hold
A504,W1654,T664,S155,Java,High,On Hold
A505,W1723,T379,S183,C++,Critical,On Hold
A506,W1957,T449,S175,UI/UX,Critical,Pending
A507,W1744,T976,S167,UI/UX,Medium,On Hold
A508,W1710,T386,S139,UI/UX,Medium,Pending
A509,W1955,T156,S162,Java,Medium,In Progress
A510,W1956,T874,S198,Python,High,In Progress
A511,W1289,T705,S118,Python,Low,Completed
A512,W1190,T714,S169,Cybersecurity,High,Pending
A513,W1239,T7,S135,DevOps,High,On Hold
A514,W1107,T14,S140,Cybersecurity,Low,Completed
A515,W1968,T385,S103,C++,High,Pending
A516,W1785,T979,S104,Java,Medium,Completed
A517,W1883,T332,S152,DevOps,Critical,Completed
A518,W1027,T210,S172,Data Analysis,Critical,In Progress
A519,W1291,T735,S188,UI/UX,Low,In Progress
A520,W1498,T839,S143,UI/UX,High,Completed
A521,W1763,T439,S144,C++,Low,Completed
A522,W1802,T193,S142,Cybersecurity,High,On Hold
A523,W1404,T580,S173,Cybersecurity,Low,In Progress
A524,W1980,T660,S190,DevOps,Medium,Pending
A525,W1931,T482,S196,C++,Critical,In Progress
A526,W1483,T159,S163,Cybersecurity,Critical,Pending
A527,W1420,T443,S107,UI/UX,Low,In Progress
A528,W1531,T867,S111,Project Management,Medium,In Progress
A529,W1950,T54,S150,Python,Medium,Completed
A530,W1465,T367,S187,DevOps,High,Completed
A531,W1902,T94,S156,Python,Critical,Completed
A532,W1067,T12,S123,C++,Critical,Completed
A533,W1359,T348,S195,DevOps,High,In Progress
A534,W1859,T463,S142,DevOps,Low,Completed
A535,W1882,T54,S152,Project Management,Medium,Completed
A536,W1834,T400,S150,UI/UX,Critical,Completed
A537,W1213,T745,S194,Java,High,In Progress
A538,W1227,T163,S174,Project Management,Low,In Progress
A539,W1916,T190,S152,Java,High,Completed
A540,W1506,T367,S129,Java,Medium,Pending
A541,W1774,T436,S166,DevOps,Low,Pending
A542,W1450,T749,S185,C++,Medium,Completed
