assignment_id,worker_id,task_id,supervisor_id,skill,priority,status
A125,W1867,T870,S161,Python,Medium,In Progress
A126,W1675,T1267,S160,Java,Low,Pending
A127,W1375,T51,S179,UI/UX,Medium,Completed
A128,W1780,T165,S184,UI/UX,Critical,On Hold
A129,W1734,T1390,S182,Java,Medium,In Progress
A130,W1386,T1013,S154,Python,Low,In Progress
A131,W1420,T411,S177,Java,Low,Completed
A132,W1115,T1078,S199,C++,Low,On Hold
A133,W1405,T798,S150,Cybersecurity,Medium,On Hold
A134,W1759,T1738,S158,UI/UX,High,Pending
A135,W1935,T13,S186,Python,Critical,Pending
A136,W1211,T927,S159,Project Management,Low,Pending
A137,W1417,T1261,S193,Java,Low,Completed
A138,W1801,T1895,S183,Data Analysis,Medium,On Hold
A139,W1340,T108,S187,Data Analysis,High,On Hold
A140,W1545,T609,S183,UI/UX,High,Pending
A141,W1354,T1367,S115,Python,Critical,On Hold
A142,W1339,T861,S161,UI/UX,Critical,Pending
A143,W1456,T1405,S128,Java,Medium,Completed
A144,W1525,T1521,S112,Project Management,Critical,In Progress
A145,W1265,T1272,S191,Java,Medium,Pending
A146,W1732,T1932,S132,C++,Low,In Progress
A147,W1103,T103,S158,Project Management,Low,In Progress
A148,W1856,T1257,S106,DevOps,Medium,Completed
A149,W1203,T1058,S197,Project Management,Medium,In Progress
A150,W1310,T528,S129,DevOps,Critical,On Hold
A151,W1027,T1738,S191,Python,High,Pending
A152,W1506,T62,S111,DevOps,Critical,On Hold
A153,W1829,T871,S102,Project Management,Medium,On Hold
A154,W1784,T1558,S155,C++,High,Pending
A155,W1976,T1099,S196,Data Analysis,High,Pending
A156,W1137,T986,S177,UI/UX,Low,On Hold
A157,W1452,T496,S170,UI/UX,High,Completed
A158,W1844,T603,S171,DevOps,Medium,Pending
A159,W1613,T327,S140,Python,Critical,Completed
A160,W1121,T1475,S107,C++,Critical,In Progress
A161,W1948,T1385,S134,DevOps,Low,Completed
A162,W1612,T744,S109,C++,Medium,On Hold
A163,W1353,T648,S196,DevOps,High,On Hold
A164,W1711,T342,S100,C++,High,On Hold
A165,W1717,T1690,S144,Python,High,Pending
A166,W1709,T1560,S110,Project Management,Low,Completed
A167,W1829,T940,S172,UI/UX,Low,Pending
A168,W1044,T1952,S128,C++,Low,In Progress
A169,W1249,T913,S198,Cybersecurity,Critical,On Hold
A170,W1654,T1751,S131,Project Management,Low,In Progress
A171,W1065,T679,S171,DevOps,High,Pending
A172,W1468,T546,S174,DevOps,High,Completed
A173,W1151,T1354,S138,Cybersecurity,Critical,On Hold
A174,W1595,T1640,S117,Python,Low,Completed
A175,W1367,T1219,S138,C++,Low,In Progress
A176,W1517,T541,S157,Cybersecurity,Critical,Completed
A177,W1396,T291,S165,C++,Low,Pending
A178,W1720,T889,S149,Python,Critical,Pending
A179,W1008,T127,S194,UI/UX,Low,Completed
A180,W1502,T343,S192,Project Management,Medium,Completed
A181,W1568,T469,S139,Project Management,Critical,In Progress
A182,W1258,T792,S135,Python,Low,On Hold
A183,W1050,T985,S159,C++,Low,In Progress
A184,W1345,T1698,S143,DevOps,Critical,Completed
A185,W1911,T1356,S199,Project Management,High,Completed
A186,W1476,T1342,S197,DevOps,Critical,Pending
A187,W1600,T1072,S174,DevOps,High,Pending
A188,W1476,T1577,S106,DevOps,Critical,Completed
A189,W1487,T1486,S151,Java,Critical,Completed
A190,W1254,T1006,S104,Cybersecurity,Low,Pending
A191,W1423,T2000,S198,Python,High,Pending
A192,W1800,T461,S187,Python,Medium,In Progress
A193,W1178,T1561,S155,UI/UX,High,On Hold
A194,W1281,T953,S147,Python,Low,Pending
A195,W1497,T724,S148,Python,Critical,Pending
A196,W1058,T1572,S155,DevOps,Critical,In Progress
A197,W1284,T1992,S192,Project Management,Medium,Pending
A198,W1305,T1137,S156,UI/UX,Low,Completed
A199,W1547,T1288,S153,C++,Critical,Completed
A200,W1531,T1023,S135,C++,High,On Hold
A201,W1199,T1570,S131,C++,Critical,In Progress
A202,W1137,T1921,S152,C++,Medium,On Hold
A203,W1971,T1229,S197,Project Management,Medium,Pending
A204,W1159,T1754,S170,Cybersecurity,Critical,Completed
A205,W1353,T246,S169,Python,High,Completed
A206,W1876,T167,S174,Cybersecurity,High,In Progress
A207,W1362,T1821,S130,DevOps,Critical,Completed
A208,W1982,T259,S157,Java,Critical,In Progress
A209,W1683,T1380,S137,Data Analysis,Medium,Completed
A210,W1538,T480,S156,DevOps,Medium,In Progress
A211,W1589,T253,S149,UI/UX,High,In Progress
A212,W1295,T1648,S139,DevOps,High,In Progress
A213,W1058,T389,S181,Project Management,Critical,Pending
A214,W1720,T1190,S100,C++,High,In Progress
A215,W1583,T1461,S128,Project Management,Critical,In Progress
A216,W1546,T178,S197,DevOps,Low,Pending
A217,W1679,T1339,S150,Data Analysis,Low,On Hold
A218,W1271,T1850,S159,UI/UX,Critical,Pending
A219,W1013,T987,S181,Python,Critical,On Hold
A220,W1252,T1212,S159,Python,Low,Completed
A221,W1964,T1577,S110,Python,High,In Progress
A222,W1452,T544,S118,C++,High,Pending
A223,W1917,T1404,S105,Cybersecurity,High,In Progress
A224,W1243,T1886,S146,Data Analysis,Medium,In Progress
A225,W1679,T676,S182,UI/UX,Medium,In Progress
A226,W1387,T919,S158,Cybersecurity,Medium,On Hold
A227,W1745,T679,S129,C++,Low,In Progress
A228,W1046,T78,S155,Data Analysis,Critical,In Progress
A229,W1617,T1214,S168,Python,Medium,Pending
A230,W1021,T1572,S164,Project Management,Low,Pending
A231,W1191,T1485,S114,Java,Medium,On Hold
A232,W1726,T1474,S156,C++,Medium,Pending
A233,W1803,T697,S119,Cybersecurity,High,Completed
A234,W1242,T598,S156,DevOps,Critical,In Progress
A235,W1051,T41,S188,Java,High,In Progress
A236,W1634,T1598,S199,Project Management,Low,Completed
A237,W1843,T267,S165,Project Management,Low,Completed
A238,W1353,T1074,S168,UI/UX,Low,On Hold
A239,W1578,T1034,S113,C++,High,In Progress
A240,W1841,T1353,S149,DevOps,Critical,In Progress
A241,W1886,T300,S131,DevOps,Critical,Completed
A242,W1817,T91,S145,Python,High,In Progress
A243,W1145,T1980,S156,UI/UX,Medium,On Hold
A244,W1782,T37,S192,DevOps,High,Pending
A245,W1092,T450,S149,Java,Medium,Completed
A246,W1236,T1445,S155,Cybersecurity,Medium,Pending
A247,W1827,T1473,S103,C++,High,In Progress
A248,W1509,T1608,S139,UI/UX,Medium,In Progress
A249,W1666,T354,S167,UI/UX,Low,Pending
A250,W1956,T341,S188,Python,Low,On Hold
A251,W1348,T1762,S148,C++,Medium,Completed
A252,W1610,T623,S169,Java,High,Completed
A253,W1780,T1156,S168,UI/UX,Low,Completed
A254,W1673,T1485,S153,Java,High,Pending
A255,W1600,T1335,S156,UI/UX,High,In Progress
A256,W1891,T853,S187,Python,Low,On Hold
A257,W1543,T1642,S173,UI/UX,High,Completed
A258,W1500,T1720,S165,Cybersecurity,Medium,On Hold
A259,W1590,T879,S172,Data Analysis,Medium,Completed
A260,W1388,T1195,S116,Java,Critical,Pending
A261,W1728,T188,S113,C++,High,Completed
A262,W1971,T1244,S122,C++,Critical,In Progress
A263,W1063,T1238,S176,DevOps,Low,In Progress
A264,W1458,T192,S135,Java,Critical,Completed
A265,W1575,T518,S150,DevOps,Low,In Progress
A266,W1252,T1238,S104,DevOps,Critical,On Hold
A267,W1041,T84,S179,Cybersecurity,Medium,In Progress
A268,W1396,T1903,S177,Python,Critical,On Hold
A269,W1043,T706,S178,UI/UX,Critical,Pending
A270,W1884,T1739,S131,Java,Medium,In Progress
A271,W1871,T1823,S173,Java,Critical,In Progress
A272,W1654,T26,S115,Cybersecurity,Low,Pending
A273,W1594,T1810,S137,Project Management,Low,In Progress
A274,W1525,T1288,S130,Java,Medium,On Hold
A275,W1847,T1765,S182,Project Management,Medium,On Hold
A276,W1252,T321,S181,Python,Medium,Pending
A277,W1777,T983,S128,Data Analysis,Low,On Hold
A278,W1007,T1210,S159,Cybersecurity,Critical,In Progress
A279,W1507,T775,S189,Cybersecurity,Critical,In Progress
A280,W1944,T1802,S178,Cybersecurity,Critical,Completed
A281,W1929,T330,S148,C++,Low,In Progress
A282,W1461,T1447,S133,UI/UX,Low,In Progress
A283,W1171,T224,S187,Python,Low,On Hold
A284,W1466,T980,S135,UI/UX,Critical,On Hold
A285,W1593,T1889,S105,Python,Critical,Pending
A286,W1281,T598,S132,UI/UX,High,In Progress
A287,W1961,T1223,S118,C++,Medium,Completed
A288,W1405,T97,S186,Project Management,Critical,Completed
A289,W1331,T492,S125,Project Management,Critical,Pending
A290,W1585,T1720,S168,Python,Critical,On Hold
A291,W1381,T1456,S144,Cybersecurity,Medium,In Progress
A292,W1932,T665,S172,Cybersecurity,Medium,In Progress
A293,W1416,T1342,S158,UI/UX,Low,Pending
A294,W1887,T840,S162,C++,High,On Hold
A295,W1871,T1903,S167,UI/UX,High,On Hold
A296,W1750,T387,S110,UI/UX,Medium,In Progress
A297,W1525,T872,S172,Cybersecurity,High,On Hold
A298,W1342,T1044,S181,UI/UX,Medium,On Hold
A299,W1371,T1858,S197,DevOps,Critical,In Progress
A300,W1594,T1959,S172,Project Management,High,In Progress
A301,W1071,T1340,S120,Cybersecurity,Critical,Pending
A302,W1529,T1188,S159,Python,Low,Pending
A303,W1321,T1453,S128,Cybersecurity,Low,Pending
A304,W1929,T1136,S184,Java,Medium,On Hold
A305,W1556,T1522,S193,Data Analysis,Critical,In Progress
A306,W1849,T59,S197,Project Management,Critical,Completed
A307,W1589,T1542,S100,Python,Medium,On Hold
A308,W1502,T1801,S178,Java,Medium,Pending
A309,W1189,T221,S115,Java,High,In Progress
A310,W1227,T1201,S157,DevOps,Low,In Progress
A311,W1487,T1657,S129,Java,High,Pending
A312,W1831,T1164,S183,Java,Low,On Hold
A313,W1585,T49,S142,Cybersecurity,Critical,In Progress
A314,W1788,T1699,S196,Data Analysis,Critical,In Progress
A315,W1109,T1288,S153,Project Management,High,On Hold
A316,W1847,T436,S179,Data Analysis,High,On Hold
A317,W1570,T932,S104,Data Analysis,High,Pending
A318,W1864,T912,S127,C++,High,Completed
A319,W1199,T1677,S110,Cybersecurity,Low,In Progress
A320,W1114,T1160,S134,UI/UX,Low,Completed
A321,W1559,T758,S104,DevOps,High,In Progress
A322,W1868,T22,S179,DevOps,Medium,Completed
A323,W1892,T1574,S101,DevOps,High,Completed
A324,W1705,T728,S185,UI/UX,High,In Progress
A325,W1622,T547,S183,Java,Medium,Completed
A326,W1168,T1250,S156,Data Analysis,Low,Completed
A327,W1687,T1246,S106,Data Analysis,High,Pending
A328,W1149,T1940,S192,Python,Critical,In Progress
A329,W1093,T357,S125,DevOps,Medium,Completed
A330,W1091,T829,S129,Cybersecurity,Low,On Hold
A331,W1437,T673,S168,Project Management,Low,Completed
A332,W1247,T1569,S112,DevOps,High,Pending
A333,W1813,T1854,S145,UI/UX,Low,On Hold
A334,W1053,T141,S160,Data Analysis,Critical,On Hold
A335,W1957,T1392,S150,Data Analysis,High,Pending
A336,W1425,T1206,S142,C++,Low,In Progress
A337,W1477,T472,S199,UI/UX,High,Completed
A338,W1379,T1305,S193,UI/UX,Medium,Pending
A339,W1113,T1906,S165,Data Analysis,Low,Pending
A340,W1051,T476,S191,DevOps,Critical,Completed
A341,W1584,T381,S155,Python,Critical,In Progress
A342,W1745,T91,S139,Java,High,Pending
A343,W1845,T1017,S148,Data Analysis,Medium,Pending
A344,W1679,T1266,S142,Python,Low,Completed
A345,W1430,T1719,S116,Cybersecurity,Low,Pending
A346,W1983,T276,S192,UI/UX,Medium,Pending
A347,W1310,T1460,S194,Project Management,Low,Completed
A348,W1836,T818,S123,Java,Low,Completed
A349,W1372,T30,S119,Data Analysis,Critical,Completed
A350,W1409,T641,S198,Python,Low,In Progress
A351,W1211,T1505,S158,UI/UX,High,In Progress
A352,W1483,T1229,S181,Python,Low,Pending
A353,W1584,T330,S113,Data Analysis,Critical,In Progress
A354,W1456,T459,S110,Python,Medium,Completed
A355,W1646,T621,S123,Data Analysis,Medium,Pending
A356,W1253,T45,S104,C++,Critical,In Progress
A357,W1264,T559,S170,C++,Critical,On Hold
A358,W1857,T1517,S154,UI/UX,Medium,Completed
A359,W1086,T1800,S122,C++,Low,Completed
A360,W1024,T1265,S156,Python,High,In Progress
A361,W1405,T41,S158,UI/UX,Medium,On Hold
A362,W1946,T787,S194,Project Management,High,Completed
A363,W1788,T302,S133,Cybersecurity,High,On Hold
A364,W1734,T214,S162,Cybersecurity,Medium,In Progress
A365,W1570,T1656,S190,Cybersecurity,High,In Progress
A366,W1437,T1286,S178,DevOps,High,On Hold
A367,W1805,T1574,S132,Data Analysis,Critical,Pending
A368,W1220,T1928,S109,UI/UX,Medium,On Hold
A369,W1563,T868,S128,Cybersecurity,Critical,Completed
A370,W1292,T1486,S198,Data Analysis,Medium,On Hold
A371,W1112,T1378,S152,Cybersecurity,Medium,On Hold
A372,W1656,T1464,S185,UI/UX,Low,Pending
A373,W1914,T1840,S160,DevOps,High,Pending
A374,W1273,T568,S129,Data Analysis,Medium,On Hold
A375,W1751,T330,S159,Cybersecurity,Critical,In Progress
A376,W1836,T1006,S136,Data Analysis,Critical,Completed
A377,W1681,T1508,S132,DevOps,Medium,Completed
A378,W1182,T694,S196,UI/UX,Critical,Completed
A379,W1802,T548,S164,Cybersecurity,Medium,In Progress
A380,W1934,T1549,S147,Python,Critical,Pending
A381,W1447,T318,S192,Java,Low,In Progress
A382,W1261,T771,S155,DevOps,High,In Progress
A383,W1169,T1259,S149,Cybersecurity,Medium,In Progress
A384,W1119,T153,S121,Java,High,On Hold
A385,W1793,T10,S138,UI/UX,High,On Hold
A386,W1901,T176,S108,Cybersecurity,Low,On Hold
A387,W1307,T753,S137,UI/UX,Low,On Hold
A388,W1501,T1957,S121,C++,High,In Progress
A389,W1870,T481,S197,Data Analysis,Medium,Completed
A390,W1505,T346,S158,Project Management,Medium,In Progress
A391,W1015,T656,S119,Python,High,In Progress
A392,W1278,T1999,S175,UI/UX,Low,Pending
A393,W1056,T597,S150,Python,Medium,In Progress
A394,W1686,T172,S122,Data Analysis,Low,In Progress
A395,W1991,T1947,S164,Project Management,Critical,In Progress
A396,W1912,T341,S133,C++,Critical,Completed
A397,W1635,T1550,S150,Data Analysis,Medium,In Progress
A398,W1242,T531,S177,Project Management,Medium,Completed
A399,W1523,T1035,S194,UI/UX,Medium,Completed
A400,W1227,T946,S175,C++,Critical,On Hold
A401,W1044,T1799,S192,Python,Critical,On Hold
A402,W1404,T865,S179,Cybersecurity,Medium,On Hold
A403,W1244,T1338,S174,Cybersecurity,Medium,In Progress
A404,W1170,T619,S197,Project Management,Medium,In Progress
A405,W1853,T1775,S114,DevOps,Low,On Hold
A406,W1383,T1180,S103,Python,High,Completed
A407,W1433,T1223,S128,DevOps,High,In Progress
A408,W1780,T1380,S116,Java,Medium,In Progress
A409,W1250,T710,S170,DevOps,Medium,Completed
A410,W1458,T1639,S177,DevOps,Medium,Pending
A411,W1392,T1345,S152,DevOps,Medium,Completed
A412,W1288,T1858,S144,Cybersecurity,Medium,Pending
A413,W1344,T1030,S185,Data Analysis,High,Completed
A414,W1504,T1956,S144,UI/UX,Medium,In Progress
A415,W1281,T1185,S131,Java,High,Completed
A416,W1828,T1500,S110,Data Analysis,Medium,Pending
A417,W1633,T237,S160,Java,Medium,On Hold
A418,W1584,T1500,S100,Cybersecurity,Medium,Pending
A419,W1386,T113,S184,Java,High,Pending
A420,W1667,T272,S120,UI/UX,High,In Progress
A421,W1674,T465,S104,Project Management,Critical,Completed
A422,W1712,T585,S174,Project Management,High,In Progress
A423,W1038,T592,S188,Cybersecurity,Medium,In Progress
A424,W1914,T515,S168,C++,Critical,Pending
A425,W1089,T1609,S192,Cybersecurity,High,In Progress
A426,W1635,T1783,S195,Java,Critical,Completed
A427,W1219,T1049,S174,Python,Critical,Pending
A428,W1368,T1115,S163,Project Management,Critical,In Progress
A429,W1868,T205,S159,Python,Medium,Completed
A430,W1241,T1077,S125,C++,Low,On Hold
A431,W1343,T1638,S198,Cybersecurity,Critical,Completed
A432,W1242,T1127,S188,Project Management,Low,Pending
A433,W1911,T416,S142,Java,Critical,Pending
A434,W1356,T1478,S137,UI/UX,Low,In Progress
A435,W1244,T932,S154,Java,High,In Progress
A436,W1785,T1006,S138,C++,High,Completed
A437,W1882,T101,S163,C++,Low,Pending
A438,W1831,T394,S152,DevOps,High,In Progress
A439,W1301,T1103,S175,UI/UX,Critical,In Progress
A440,W1789,T597,S126,UI/UX,High,On Hold
A441,W1800,T307,S184,DevOps,Medium,Completed
A442,W1105,T1615,S135,UI/UX,Medium,In Progress
A443,W1569,T907,S142,Cybersecurity,Critical,On Hold
A444,W1037,T1582,S157,Python,Critical,In Progress
A445,W1407,T50,S188,Java,Low,In Progress
A446,W1415,T1693,S189,Python,Low,Completed
A447,W1264,T1685,S136,Java,Low,In Progress
A448,W1061,T271,S159,UI/UX,High,Pending
A449,W1172,T1231,S147,DevOps,Medium,On Hold
A450,W1644,T1023,S136,Python,Low,Completed
A451,W1214,T914,S153,DevOps,Critical,On Hold
A452,W1638,T380,S197,Project Management,Medium,In Progress
A453,W1956,T1889,S164,Project Management,Medium,Completed
A454,W1153,T678,S130,Java,Critical,In Progress
A455,W1778,T377,S128,Project Management,Medium,Completed
A456,W1171,T1803,S160,UI/UX,Medium,Pending
A457,W1392,T334,S156,Python,Medium,On Hold
A458,W1754,T1280,S118,UI/UX,Low,In Progress
A459,W1094,T1598,S197,DevOps,Medium,On Hold
A460,W1622,T283,S187,Cybersecurity,Critical,In Progress
A461,W1352,T1247,S169,UI/UX,Low,On Hold
A462,W1032,T1786,S133,Python,Low,Pending
A463,W1380,T531,S121,DevOps,Critical,In Progress
A464,W1325,T1538,S134,Cybersecurity,Critical,Completed
A465,W1246,T1526,S154,Project Management,Low,Completed
A466,W1053,T167,S144,Python,Medium,On Hold
A467,W1596,T1344,S170,UI/UX,Medium,In Progress
A468,W1331,T1258,S116,Python,High,On Hold
A469,W1311,T84,S195,Java,High,In Progress
A470,W1009,T1227,S165,DevOps,High,In Progress
A471,W1631,T524,S107,Java,Medium,In Progress
A472,W1752,T1947,S148,Python,Low,On Hold
A473,W1657,T1056,S106,Java,Critical,Pending
A474,W1425,T1201,S161,UI/UX,Critical,In Progress
A475,W1679,T1826,S139,Data Analysis,Critical,Pending
A476,W1464,T1657,S199,Cybersecurity,Medium,Completed
A477,W1926,T764,S158,Data Analysis,High,Pending
A478,W1135,T1137,S143,Data Analysis,Low,Pending
A479,W1465,T1977,S179,C++,Low,In Progress
A480,W1332,T943,S184,DevOps,Low,In Progress
A481,W1808,T328,S184,Project Management,High,Pending
A482,W1530,T226,S138,Project Management,Medium,On Hold
A483,W1823,T1085,S145,Data Analysis,High,In Progress
A484,W1001,T320,S193,Cybersecurity,Low,In Progress
A485,W1498,T1590,S133,Python,Critical,On Hold
A486,W1792,T698,S105,DevOps,Critical,Pending
A487,W1704,T791,S157,Java,Low,Completed
A488,W1305,T1224,S189,C++,Medium,On Hold
A489,W1423,T359,S163,Java,Medium,Completed
A490,W1247,T1231,S182,Java,Low,Completed
A491,W1996,T1228,S187,Project Management,Medium,On Hold
A492,W1760,T603,S121,C++,Critical,In Progress
A493,W1456,T35,S155,Python,Low,Pending
A494,W1807,T1088,S189,Data Analysis,Low,Completed
A495,W1083,T1590,S158,Project Management,Low,On Hold
A496,W1268,T1952,S151,Data Analysis,Medium,Completed
A497,W1309,T244,S146,C++,Critical,In Progress
A498,W1701,T165,S136,C++,Low,Pending
A499,W1781,T32,S170,DevOps,Low,Pending
A500,W1289,T687,S136,C++,Critical,In Progress
A501,W1803,T415,S189,UI/UX,Critical,Pending
A502,W1729,T1401,S145,Java,Low,Completed
A503,W1118,T1592,S195,Java,Critical,In Progress
A504,W1175,T965,S182,DevOps,Low,In Progress
A505,W1946,T1047,S103,C++,Medium,Completed
A506,W1778,T1540,S118,UI/UX,High,Pending
A507,W1977,T1639,S122,Data Analysis,Critical,On Hold
A508,W1637,T1544,S189,C++,Medium,In Progress
A509,W1547,T1170,S168,Project Management,Critical,In Progress
A510,W1944,T327,S143,Project Management,Critical,On Hold
A511,W1909,T282,S150,Project Management,Low,Completed
A512,W1897,T19,S154,UI/UX,Low,On Hold
A513,W1422,T1679,S147,Python,Medium,Completed
A514,W1188,T436,S179,DevOps,Critical,Completed
A515,W1537,T321,S116,DevOps,Medium,In Progress
A516,W1095,T388,S103,Cybersecurity,High,On Hold
A517,W1947,T1285,S119,Cybersecurity,Critical,Completed
A518,W1793,T1083,S118,UI/UX,Low,Completed
A519,W1124,T742,S154,Python,Medium,Completed
A520,W1435,T1821,S173,Java,Critical,In Progress
A521,W1277,T1187,S163,Project Management,Critical,Pending
A522,W1984,T1538,S144,DevOps,Critical,In Progress
A523,W1258,T1667,S125,Java,Low,On Hold
A524,W1872,T95,S178,Data Analysis,Medium,Pending
A525,W1550,T679,S121,Cybersecurity,Critical,In Progress
A526,W1786,T1707,S121,DevOps,Medium,Pending
A527,W1257,T82,S128,Cybersecurity,Medium,On Hold
A528,W1011,T1709,S101,DevOps,Critical,Pending
